Monthly Income,Savings & Investments,Fixed Expenses,Variable Expenses,Existing Loans & Liabilities,Spending Behavior,Investment Strategy,financial stability,payment consistency,spending & budgeting discipline,financial adaptability
119149,41527,64150,31292,268323,73.7370855,13.40229143,54.74993496,99.64662584,19.89693577,27.37496748
165785,71839,7594,29756,284868,82.05145218,20.13949824,100,99.21831011,77.47082064,60.40172513
187091,27404,58472,20528,474327,89.02779931,5.461890934,72.42197647,99.61269816,57.7745589,36.21098824
91975,19251,27039,28448,75087,69.06985594,20.40641099,60.60233759,99.59808297,39.6716499,30.3011688
199413,54841,18809,47327,71426,76.26684318,43.4325675,94.3358758,99.65449472,66.83465973,47.1679379
159004,56878,28744,22181,382141,86.05003648,12.95570351,100,99.13301658,67.97250384,51.87196549
197864,82896,35219,2389,187923,98.79260502,30.60937379,100,99.08678887,80.9930053,61.44422432
102640,78212,26365,39360,410541,61.65237724,16.00235702,100,99.32663316,35.96551052,56.08291115
23955,67344,51017,42955,12569,0,84.27164541,0,99.66758665,0,0
84334,17889,41412,18485,81028,78.08120094,18.08485902,50.18853606,99.07170769,28.97645078,25.09426803
45512,72433,67652,31790,240139,30.15029003,23.17322089,40.65521181,99.89317642,0,20.32760591
62985,68135,55898,16816,230612,73.30157974,22.80692358,92.73001508,99.05337902,0,46.36500754
88929,57959,27737,7318,488320,91.77096335,10.60977998,100,99.56101499,60.58091286,62.87768894
93823,33943,6743,28847,5958,69.2538077,85.06804341,98.2445669,99.35057517,62.0668706,49.12228345
137675,80393,71785,24563,434823,82.1587071,15.60374678,88.41111313,99.26528797,30.01779553,44.20555656
64904,42056,65506,24154,36118,62.78503636,53.79793793,26.65475163,99.69988932,0,13.32737582
142136,53173,69493,3960,345480,97.21393595,13.33816627,85.73197501,99.590523,48.32202961,42.8659875
145861,23844,7482,47670,41816,67.3182002,36.31434663,78.53572922,99.61145801,62.18865907,39.26786461
31351,43532,76564,5747,100037,81.66884629,30.32130892,0,99.12464372,0,0
61325,82774,23528,3261,126399,94.68242968,39.57202889,100,99.62148403,56.31634733,95.64614757
147313,85527,53696,6638,136019,95.49394826,38.60462387,100,99.15599837,59.04366892,58.55084073
138294,76133,6278,35608,384997,74.25195598,16.51009477,100,99.13178374,69.71235195,62.38195439
157387,32152,62314,14937,127133,90.50938133,20.18520262,71.34515557,99.04541474,50.91653059,35.67257779
86259,72930,71106,3834,40177,95.55524641,64.47876789,97.66980837,99.09360189,13.122109,48.83490418
123376,53390,28115,46041,77773,62.68236934,40.70507689,83.16852548,99.02406942,39.89430683,41.58426274
71421,35644,70547,28022,173707,60.76504109,17.02595163,11.89566094,99.34500045,0,5.94783047
174553,5435,16912,5717,359336,96.724777,1.489975903,90.14969665,99.82176781,87.03602917,45.07484833
54821,67635,48720,11167,70119,79.63006877,49.09839279,100,99.13631295,0,57.06663505
171164,86479,13852,43368,108407,74.6628964,44.37414694,100,99.21239107,66.57007315,58.54706597
134369,26487,33608,41672,60174,68.9868943,30.56392149,63.68730883,99.46054379,43.97517284,31.84365441
138544,5132,53630,31939,442516,76.94667398,1.146436486,41.94118836,99.42469216,38.23694999,20.97059418
163252,53123,20285,11404,268956,93.01448068,16.49377948,100,99.52801191,80.5889055,56.56469752
67156,33954,75923,17936,155806,73.29203645,17.89312816,10.7972482,99.68296427,0,5.398624099
29859,94757,67748,24279,332400,18.68783281,22.18317855,100,99.275316,0,54.57148598
139501,94610,10382,18218,252116,86.94059541,27.28667593,100,99.40377243,79.49835485,73.65932861
116298,88542,11407,49843,329978,57.14199728,21.15597821,100,99.77196182,47.33357409,61.73364976
140854,21489,26418,32551,51650,76.89025516,29.38104158,73.39088702,99.21908517,58.13466426,36.69544351
122042,76205,29605,47403,51525,61.15845365,59.66100368,99.34202979,99.25868667,36.90041133,49.6710149
183211,73532,15885,17406,393280,90.49947874,15.75195154,100,99.88673361,81.82914781,60.98214627
53477,37534,14582,21420,170501,59.94539709,18.04215637,100,99.64962262,32.67759972,51.4323915
22817,97490,65152,34027,402612,0,19.49402322,92.59762458,99.51443277,0,46.29881229
83594,35185,69065,26541,35092,68.25011364,50.06616674,27.72088906,99.41835314,0,13.86044453
184630,17013,27276,21431,246356,88.3924606,6.459757982,82.83377566,99.30379617,73.61913015,41.41688783
78027,19541,36925,19973,112767,74.40245043,14.76932612,52.12298307,99.8510251,27.07908801,26.06149153
41333,16561,68481,47175,366348,0,4.32504851,0,99.4093946,0,0
144897,81904,64554,33177,224995,77.10304561,26.68760732,89.07706854,99.49617296,32.55139858,44.53853427
48910,99701,40610,34027,256755,30.42936005,27.97007204,100,99.00141589,0,75.62257207
192256,41365,38616,42001,139055,78.15360769,22.92705908,79.58347204,99.63051762,58.06788865,39.79173602
196209,71336,25549,23124,199757,88.21460789,26.31421689,100,99.56804563,75.19328879,55.77521928
60343,28554,72779,6989,366012,88.4178778,7.236812092,15.12851532,99.26577283,0,7.56425766
131601,89632,40725,38550,225263,70.70690952,28.46409121,100,99.11984312,39.76109604,53.93500049
86770,40111,50604,39884,347265,54.03480466,10.35453926,41.94191541,99.2776426,0,20.9709577
22479,16796,77200,39179,370699,0,4.334507542,0,99.56730593,0,0
29588,77001,31953,40860,426874,0,15.28176631,100,99.77730834,0,57.07719346
104704,46533,65731,37150,114006,64.51902506,28.98548016,46.18352689,99.23475053,1.741098716,23.09176345
171790,5840,54748,46206,408856,73.1032074,1.408260509,44.63356424,99.36361679,41.23406485,22.31678212
110420,87659,76850,47941,168432,56.58304655,34.22962931,66.37203405,99.42777634,0,33.18601703
34627,34230,51559,48374,300124,0,10.23765231,0,99.34379105,0,0
176759,66468,78418,44609,310307,74.76281264,17.64129786,68.00219508,99.26939617,30.39845213,34.00109754
88802,54930,10392,4603,78741,94.81655819,41.09343089,100,99.11298878,83.11411905,72.485417
144243,59771,73595,9908,112680,93.13103582,34.65970044,83.54720853,99.49630769,42.10949578,41.77360427
25119,56621,31766,43628,345335,0,14.08636766,25.26374458,99.85682292,0,12.63187229
192908,79191,14535,42384,424452,78.02890497,15.72363758,100,99.49258834,70.49422523,55.77269994
195692,98400,10161,14764,146579,92.45549128,40.16670817,100,99.49080934,87.26314821,68.77312307
118698,77624,18181,48701,201817,58.97066505,27.77831456,100,99.64988756,43.65364202,54.52492881
192911,46056,26084,36358,164874,81.15296691,21.8347319,91.5059276,99.42428041,67.63170581,45.7529638
114508,96163,18700,9848,249301,91.39972753,27.83589607,100,99.67666313,75.06899081,79.52413805
127614,33564,76254,34251,348657,73.16046829,8.78130715,39.70802577,99.68604016,13.40683624,19.85401288
129667,30019,45517,9284,474996,92.84012123,5.944179876,80.88796687,99.64241016,57.73712664,40.44398343
193534,61936,17335,42957,181183,77.80390009,25.47559014,100,99.51013828,68.84681761,50.42473157
105218,13298,38723,6380,221529,93.93639872,5.662892257,69.77228231,99.33661021,57.13376038,34.88614115
58870,89839,21788,41574,13378,29.37998981,87.03895676,100,99.12345863,0,72.48768473
25157,57932,23719,34552,211256,0,21.52101877,98.65246254,99.61053918,0,49.32623127
151062,18981,33402,24042,253852,84.08468046,6.957003002,74.53826906,99.60761667,61.97322953,37.26913453
43502,73830,27345,24887,357912,42.79113604,17.10049057,100,99.51666368,0,74.82414602
97001,84606,54460,12663,298652,86.94549541,22.07546874,100,99.43339365,30.80174431,59.01176277
53696,62897,38996,8487,289609,84.1943534,17.84281686,100,99.20909963,11.57069428,64.35302443
107733,73326,68806,7024,436101,93.48017785,14.39381894,97.67573538,99.20553452,29.61302479,48.83786769
122224,51560,27709,39314,425838,67.83446786,10.80021282,87.34863857,99.1012506,45.16379762,43.67431928
168377,11045,73176,42053,260498,75.0244986,4.067495756,38.12456571,99.29794317,31.56488119,19.06228285
72180,79572,28496,15338,493836,78.75034636,13.87702997,100,99.27337201,39.27126628,74.75616514
166451,55573,59602,43371,178501,73.94368313,23.74163726,71.52315096,99.11349562,38.13614818,35.76157548
188174,38729,14503,41126,202513,78.14469587,16.05400386,91.01895055,99.62302791,70.43746745,45.50947527
141925,39716,53055,5430,146641,96.17403558,21.3117833,86.77540955,99.80617967,58.79161529,43.38770477
60795,43729,58209,30466,124865,49.88732626,25.93745922,26.06957809,99.77257646,0,13.03478905
83798,36770,68660,13319,187263,84.10582591,16.41276062,46.05002506,99.84857821,2.170696198,23.02501253
102927,65108,45721,37373,121801,63.68979957,34.83406364,82.52547922,99.41836775,19.26899647,41.26273961
109162,26544,66660,12857,147980,88.22209194,15.20936948,51.47304007,99.87617902,27.1568861,25.73652003
97850,23041,18376,35041,366037,64.1890649,5.921948812,68.95656617,99.80012285,45.40929995,34.47828309
181706,74846,21264,49559,141884,72.72572177,34.53421308,100,99.12902679,61.02330138,51.10700802
165437,45946,44280,37222,71985,77.50080091,38.96006987,78.50783078,99.13132241,50.73532523,39.25391539
198286,70251,16912,34437,88784,82.63266191,44.17329519,100,99.01305878,74.10356757,54.7663476
71116,92415,14585,7361,45314,89.64930536,67.09915849,100,99.22683888,69.14055909,99.5451094
58645,85441,57517,40505,201900,30.93187825,29.73505347,78.54719072,99.55041862,0,39.27359536
150264,76864,41888,5278,255704,96.48751531,23.11226576,100,99.35023657,68.61124421,59.88194112
43428,5363,73528,37448,169108,13.76991803,3.073863278,0,99.60262572,0,0
77462,31314,49854,14553,331444,81.21272366,8.632201082,57.27840748,99.44471558,16.85342491,28.63920374
165034,91784,23505,7123,71551,95.68391968,56.19371231,100,99.51085089,81.44139995,68.52830326
40304,46913,48126,2071,469075,94.8615522,9.091878106,91.85192537,99.72527398,0,45.92596268
48312,66025,22013,38878,405667,19.52723961,13.99748141,100,99.05455962,0,55.3133797
147481,10820,44623,41303,399507,71.9943586,2.636921285,49.07411802,99.42118986,41.73757976,24.53705901
20216,67518,32080,2534,421355,87.46537396,13.81094886,100,99.13903693,0,100
139258,82472,22317,38843,173000,72.10716799,32.28220705,100,99.77091801,56.08151776,57.65198409
193147,92760,20846,18591,321139,90.37468871,22.41126458,100,99.57084231,79.58187287,63.80373498
147001,20551,52290,46305,439197,68.50021428,4.47005751,46.9092047,99.16122076,32.92902769,23.45460235
94336,58088,49704,35716,286046,62.13958616,16.87947137,71.02696744,99.71129701,9.451322931,35.51348372
31030,48418,12035,34784,199531,0,19.52740281,100,99.13996387,0,52.57653883
52940,18448,69544,21190,341974,59.97355497,5.11844449,0,99.43620825,0,0
185095,41521,60559,33857,385112,81.70831195,9.732252311,71.4227829,99.46951052,48.99051838,35.71139145
42794,31159,13776,28600,66563,33.16820115,31.88534823,73.78838155,99.59655043,0.976772445,36.89419077
125355,87172,14128,28713,117420,77.09465119,42.6077266,100,99.57691355,65.8242591,67.6821826
37064,24876,14709,18754,387164,49.40103605,6.037277934,76.83196633,99.01557731,9.715627024,38.41598316
121004,27486,41988,22033,251731,81.79151102,9.843956493,69.80678325,99.77138522,47.09183167,34.90339162
98173,13060,61761,42410,493162,56.8007497,2.579895777,7.193423854,99.08553557,0,3.596711927
27822,66373,73967,21974,384699,21.01933722,14.71450234,0,99.56403677,0,0
166284,75998,38024,7361,338353,95.57323615,18.34145447,100,99.45660969,72.70633374,59.20503476
152588,43743,50766,4950,92775,96.75597033,32.04192854,92.15338034,99.76958146,63.48598841,46.07669017
154627,86417,62307,48284,452881,68.77388813,16.02397932,84.3662491,99.68637121,28.47885557,42.18312455
53174,55134,45048,29403,100251,44.70417873,35.4821894,63.67209538,99.8921788,0,31.83604769
153978,71097,16227,28752,222146,81.32720259,24.24508002,100,99.50275076,70.7886841,58.48108171
80774,49083,44038,41623,224793,48.46980464,17.92161416,54.71562632,99.52270513,0,27.35781316
183547,95269,55627,27293,186609,85.13023912,33.79795514,100,99.42237664,54.82356018,53.36398852
58143,65702,32063,13253,373747,77.20619851,14.95099545,100,99.75233931,22.06112516,67.53091516
199120,44960,69631,33604,310950,83.12374448,12.63240707,70.7337284,99.07965691,48.15437927,35.3668642
100227,65328,57162,9508,394035,90.51353428,14.22143272,98.66103944,99.83536417,33.48099813,49.33051972
196167,72960,29491,28500,312787,85.4715625,18.91395137,100,99.64421939,70.43794318,53.8153716
163697,22551,27521,4843,290778,97.04148518,7.197227196,94.005388,99.02788637,80.22932613,47.002694
44893,39096,33999,14653,185679,67.36016751,17.39339339,78.71383066,99.10686142,0,39.35691533
109446,62438,33581,48580,456248,55.61281362,12.0377261,81.9792409,99.30066814,24.93010252,40.98962045
136441,99248,66686,3278,288427,97.59749635,25.60082543,100,99.51516909,48.7221583,60.7313784
32121,84948,51265,34528,137193,0,38.24057693,97.36932225,99.43501032,0,48.68466113
103080,35149,49156,34289,163767,66.73554521,17.67027288,53.14707024,99.13688425,19.04831199,26.57353512
33619,53710,49444,15045,243468,55.24852018,18.07334325,67.93777328,99.70674823,0,33.96888664
29794,74617,64397,2048,426287,93.12613278,14.89646719,100,99.30710364,0,63.71417064
85121,56703,79921,38194,466233,55.12975646,10.8432007,27.8532912,99.68229327,0,13.9266456
106403,69656,14858,23038,388580,78.34835484,15.20090085,100,99.60909137,64.38446284,64.92439123
85983,36751,74483,33676,468006,60.83411837,7.280929239,16.9510252,99.07339446,0,8.475512601
82291,58182,55711,8886,136103,89.20173531,29.94672775,92.20449381,99.51617014,21.50174381,46.1022469
154488,87726,48349,33245,23892,78.48052923,78.59485029,100,99.25800574,47.18424732,51.98462016
46169,38393,48818,39106,419699,15.29814378,8.381067558,0,99.63353899,0,0
138998,32657,9255,25211,274025,81.86232895,10.64848931,98.69854243,99.81986796,75.20395977,49.34927121
58477,92386,12403,11184,374931,80.87453187,19.76944986,100,99.43691398,59.66448347,100
52201,45884,40224,34833,476612,33.27139327,8.781694023,44.11409743,99.44401742,0,22.05704872
97589,48479,20616,4246,22731,95.6490998,68.0789215,100,99.58655438,74.52376805,62.10023671
84711,78912,23676,5590,89008,93.40109313,46.99380657,100,99.83564281,65.45194839,79.30316016
83514,30730,15695,42887,307560,48.64693345,9.083922079,66.64990301,99.51635402,29.85367723,33.32495151
153806,99518,20625,48692,17642,68.34193725,84.94195971,100,99.1491913,54.9321873,59.81788747
25674,81628,51684,11139,438564,56.61369479,15.69189838,100,99.34212955,0,86.62265327
183978,13822,55035,35470,85819,80.72052093,13.87179976,58.31947298,99.46287224,50.80661818,29.15973649
164202,50163,24703,3200,295815,98.05118086,14.49889877,100,99.17095717,83.00690613,56.77823656
91399,6969,41684,37006,349106,59.51159203,1.957171944,21.52977604,99.32291299,13.90496614,10.76488802
197559,81346,37947,8782,125673,95.55474567,39.29397785,100,99.04667327,76.34681285,58.7611802
156920,85110,55822,28577,260894,81.78880958,24.59798153,100,99.08940703,46.21526893,50.22654856
135878,39874,53546,17977,16947,86.76974933,70.17475933,76.70778198,99.59537023,47.36233975,38.35389099
195964,14893,59235,39204,23180,79.99428466,39.11695953,57.36665918,99.37931442,49.7667939,28.68332959
130996,45568,12828,29174,282168,77.72909096,13.90387385,100,99.17035056,67.93642554,51.36111026
152354,84202,50901,20429,335922,86.59109705,20.04217802,100,99.54215578,53.18140646,54.22437219
59484,21082,58238,26907,369354,54.76598749,5.399604545,0,99.64606016,0,0
140159,69716,77009,40041,163917,71.43173111,29.83996268,66.22835494,99.77282695,16.48770325,33.11417747
27589,84151,78467,20825,97591,24.51701765,46.30245073,45.11943166,99.11417833,0,22.55971583
122348,6157,66775,8671,293480,92.91283879,2.054819665,43.36728022,99.25187184,38.33491353,21.68364011
115357,79280,59496,9307,395306,91.93200239,16.70508612,100,99.53414268,40.35645865,54.54112017
153558,81621,68419,2910,289052,98.10495057,22.01967772,100,99.42092783,53.54914755,53.35117675
193389,46743,39400,38134,458593,80.2811949,9.249885225,84.07820507,99.120258,59.9077507,42.03910253
64212,39705,73064,21801,446547,66.04840217,8.165519114,14.09705351,99.75783994,0,7.048526755
197706,66336,47639,33741,391602,82.93375011,14.48580376,92.39072158,99.11372221,58.83787037,46.19536079
182391,76170,10186,7375,416231,95.95648908,15.46909937,100,99.07259712,90.3717837,66.06685637
99818,97809,73017,44670,235743,55.24855237,29.32346381,80.08575608,99.23361079,0,40.04287804
141868,85047,49146,6734,75102,95.25333409,53.10492104,100,99.56090059,60.61127245,60.27962613
100505,25985,56787,7728,446381,92.31083031,5.50103098,61.66359883,99.32610242,35.80916372,30.83179941
70253,38257,77684,31667,279559,54.92434487,12.03746822,0,99.51539923,0,0
88948,35475,49731,9721,214155,89.07114269,14.21103233,73.04380087,99.83719152,33.16094797,36.52190044
76710,24779,70320,45692,236617,40.43540607,9.479487062,0,99.48902495,0,0
110151,61567,14421,8825,84384,91.98827065,42.1833355,100,99.77291557,78.89624243,67.3947581
155269,59865,30128,43286,163138,72.12193033,26.84493034,91.27385376,99.67859158,52.71818586,45.63692688
88574,73214,16333,21585,323518,75.63054621,18.4542714,100,99.87888474,57.19059769,69.92458283
80255,66715,67970,27204,443929,66.10304654,13.06487494,64.53928104,99.35911614,0,32.26964052
50763,80792,50767,47545,53055,6.339262849,60.36145749,65.48667336,99.53861827,0,32.74333668
124339,37937,61716,14995,34217,87.94022793,52.57781966,68.81589847,99.60866529,38.30495661,34.40794924
75076,82468,22422,35070,55843,53.2873355,59.6250479,100,99.35300745,23.42159945,66.63381107
34022,40549,22141,23237,247457,31.70007642,14.07922057,85.80624302,99.13002082,0,42.90312151
170512,37154,32071,9161,26882,94.62735761,58.02048848,97.60837947,99.05642531,75.81871071,48.80418973
81542,19519,22513,35863,205098,56.01898408,8.689903258,52.34725663,99.08777412,28.40989919,26.17362831
166588,44698,23433,4409,206259,97.35335078,17.81101942,100,99.82361667,83.28691142,55.05918794
79828,10992,45900,8613,360530,89.21055269,2.958640404,45.4815353,99.48629237,31.71193065,22.74076765
94531,74042,53970,30024,216000,68.23899038,25.52802698,89.47223662,99.73060328,11.14660799,44.73611831
121136,30545,42597,36316,88399,70.02047286,25.680152,60.07132479,99.36271497,34.85586448,30.0356624
55110,26568,50032,17369,482905,68.48303393,5.214800392,25.90636908,99.65333653,0,12.95318454
43764,88018,7881,31726,292293,27.50662645,23.1436903,100,99.42024719,9.49867471,100
109504,75424,31560,31412,359600,71.31428989,17.337894,100,99.15384163,42.4934249,55.68563705
192271,77666,29000,20587,269630,89.29271705,22.3630563,100,99.16387504,74.20983924,57.30193321
129920,41221,27943,5266,188035,95.94673645,17.98033639,100,99.40680969,74.43888547,53.08343596
137990,98614,41342,5397,363577,96.08884702,21.33620083,100,99.36072551,66.12870498,68.79665193
116021,19734,43458,28231,180594,75.66733609,9.850844615,55.21931374,99.74182577,38.21032399,27.60965687
195053,88019,19331,29114,446273,85.07380045,16.47395057,100,99.63888041,75.16316078,60.14442229
144133,40271,41537,45395,249624,68.50478378,13.89158143,67.62642837,99.11425461,39.68626199,33.81321418
197307,90270,76992,12105,382195,93.86489075,19.10617718,100,99.83600364,54.84346729,50.2972525
42545,99129,19736,14754,156483,65.32142437,38.78104314,100,99.85730246,18.93289458,100
191918,79669,37942,22417,81494,88.31949062,49.43380304,100,99.56930279,68.54958889,55.0307944
181287,24339,5383,40564,253581,77.62442977,8.757556131,88.08077799,99.32143806,74.65510489,44.040389
108054,55720,8843,12995,274275,87.97360579,16.88510432,100,99.8779163,79.78973476,65.67827198
128640,40896,25937,17024,142341,86.76616915,22.31863652,98.39474502,99.42156265,66.60370025,49.19737251
69777,76956,28217,33912,57683,51.39945827,57.15728726,100,99.61919463,10.96063173,60.6245611
98272,40199,43692,16250,83775,83.46426246,32.42534725,79.90984207,99.35566346,39.00398893,39.95492104
65023,21922,70882,2619,296022,95.97219445,6.894924892,20.67576088,99.2667209,0,10.33788044
120511,27352,19572,41491,94438,65.57077777,22.45832991,72.02661998,99.02182349,49.32993669,36.01330999
42708,30165,54492,18806,96203,55.96609535,23.87075842,0,99.44894103,0,0
184267,89323,27409,19468,311463,89.4348961,22.28695613,100,99.29218777,74.5602848,61.5175262
190639,35164,32395,49050,224990,74.27074208,13.51660939,75.72322557,99.49727622,57.27789172,37.86161279
99023,21677,65800,13157,116255,86.71318785,15.71571499,42.15485291,99.51835946,20.26397908,21.07742646
172036,66634,26393,27495,78870,84.01787998,45.7953046,100,99.35180353,68.67632356,53.70445721
154482,54199,52465,22795,146033,85.24423557,27.068101,86.36669644,99.61402852,51.28235005,43.18334822
83106,94430,43447,9873,288547,88.11999134,24.65683318,100,99.62759255,35.84097418,74.73347291
131230,23003,37396,24265,52231,81.50956336,30.57527182,70.54179685,99.2511672,53.01303056,35.27089842
129140,29215,15510,29391,76621,77.24097878,27.60402887,87.85349233,99.44579711,65.23075732,43.92674617
141029,95929,56149,31342,158441,77.77620206,37.71238747,100,99.18816012,37.9624049,52.99158329
31795,5754,68252,14351,198686,54.86397232,2.814517707,0,99.13296446,0,0
39942,88888,64398,39350,234852,1.482149116,27.45660098,62.79605428,99.46939419,0,31.39802714
128892,53633,50880,48507,345330,62.36616702,13.44310124,64.50206374,99.02231872,22.8912578,32.25103187
81426,22373,10764,49231,325094,39.5389679,6.438884844,53.79608479,99.0052809,26.31960308,26.89804239
55982,78044,43317,8845,232485,84.20027866,25.13259631,100,99.08568614,6.823621878,73.11635883
37776,70182,10959,19667,142556,47.93784413,32.98987487,100,99.53796372,18.92736129,100
48973,82628,59557,5428,104255,88.91634166,44.21375941,100,99.17403442,0,68.01298675
147976,23454,29251,42770,350163,71.09666432,6.27755161,67.17913716,99.05457153,51.32926961,33.58956858
172643,81789,15443,45353,154354,73.73018309,34.63536925,100,99.11643732,64.78513464,56.0798874
121601,54343,75207,10284,201111,91.54283271,21.27310592,74.38507907,99.06485299,29.69547948,37.19253954
43448,27958,21406,6265,163432,85.580464,14.60786875,100,99.09975203,36.31237341,50.33027987
91259,90564,7373,49284,479240,45.99546346,15.89388632,100,99.73789798,37.91626031,68.5773458
100640,63313,43657,24655,240426,75.50178855,20.84454087,95.03279014,99.15867002,32.12241653,47.51639507
164035,49202,45832,16876,367205,89.71195172,11.81584363,91.76639132,99.79305638,61.77157314,45.88319566
61915,16546,40142,24747,354853,60.03068723,4.455046998,21.92037471,99.22428672,0,10.96018735
160025,15362,25419,38890,159314,75.69754726,8.794568229,69.41290423,99.33827093,59.81315419,34.70645212
173618,41592,24128,11302,14677,93.4903063,73.91636603,100,99.46406532,79.59312974,51.77458558
68696,15077,24274,3840,456892,94.41015489,3.194489469,81.0221847,99.192438,59.07476418,40.51109235
149733,65242,19993,13343,287842,91.08880474,18.477756,100,99.6464175,77.73637074,60.65429798
197453,8988,25405,41492,91256,78.9863917,8.966122661,70.67200802,99.80588336,66.12003869,35.33600401
141432,87165,74879,11054,267240,92.18422988,24.5947433,100,99.80273122,39.24076588,50.435545
170079,44603,25678,4426,160130,97.3976799,21.78593583,100,99.11009824,82.29999,54.26243099
112794,79551,29593,17352,348254,84.61620299,18.59515433,100,99.88732883,58.37987836,64.453783
60690,16192,79052,4528,22023,92.5391333,42.37079681,0,99.30817525,0,0
99739,63931,19342,20084,319935,79.86344359,16.65450965,100,99.12522829,60.47082886,62.28456271
52176,17612,15445,7938,239811,84.78610856,6.841657505,88.93935909,99.64246756,55.18437596,44.46967955
189087,96477,17269,4051,471888,97.85759994,16.97447943,100,99.49920768,88.72476691,69.87365604
155525,20217,39110,5995,20575,96.14531426,49.56118847,83.99742807,99.13425427,70.9982318,41.99871403
47790,82438,69228,48355,99051,0,45.42313859,26.45951036,99.31525776,0,13.22975518
178081,76982,32765,23387,180376,86.86721211,29.91241772,100,99.44277983,68.46828129,55.84846222
